comparison,feature,n_positive,n_control,mean_positive,mean_control,cohen_d,abs_d
claim_ranked_conversation,mean_code_fence_per_1k,1431,344,0.2194134569588836,0.10885898720055699,0.09782422627474982,0.09782422627474982
claim_ranked_conversation,mean_fam_information,1431,344,1.0981173169186018,1.7045988177908904,-0.09273844164256803,0.09273844164256803
claim_ranked_conversation,mean_question_rate,1431,344,0.08822224974685698,0.09496168139461202,-0.05211762573738124,0.05211762573738124
claim_ranked_conversation,mean_fam_meta,1431,344,0.744495475427625,0.8891581325137003,-0.05040537378554727,0.05040537378554727
claim_ranked_conversation,max_exclaim_rate,1431,344,0.2096236428784592,0.23363478393546747,-0.02850002723121049,0.02850002723121049
claim_ranked_conversation,mean_transition_cosine,1431,344,0.616667213929153,0.6195166633864752,-0.020377218779920648,0.020377218779920648
claim_ranked_conversation,mean_fam_cross_domain,1431,344,0.45126621810026324,0.5311738483316512,-0.01969947679602913,0.01969947679602913
claim_ranked_conversation,mean_numbered_per_1k,1431,344,5.737972137048539,5.544703954684837,0.016720587230606754,0.016720587230606754
claim_ranked_conversation,mean_colon_per_1k,1431,344,20.91630218781524,21.239157994145383,-0.012186529209294137,0.012186529209294137
claim_ranked_conversation,mean_fam_cross_model,1431,344,0.03739261524572347,0.03359960578509352,0.0113511249124038,0.0113511249124038
claim_ranked_conversation,lagged_user_assistant_cosine,1431,344,0.6138174391339293,0.6138234395964997,-4.003503485359532e-05,4.003503485359532e-05
claim_ranked_conversation,claim_ranked_conversation,1431,344,1.0,0.0,0.0,0.0
ultra_high_signal_claim_conversation,unique_dominant_states,376,1399,8.303191489361701,2.0464617583988565,2.3927055476163517,2.3927055476163517
ultra_high_signal_claim_conversation,dominant_family_entropy,376,1399,2.952027165591849,1.0692749868350404,2.079796976218332,2.079796976218332
ultra_high_signal_claim_conversation,max_fam_symbolic,376,1399,50.58414454804913,2.99586540517463,1.8354085683429264,1.8354085683429264
ultra_high_signal_claim_conversation,max_log_words,376,1399,7.2035502320180615,5.601559803747093,1.6184092026092098,1.6184092026092098
ultra_high_signal_claim_conversation,n_user_assistant_pairs,376,1399,68.21542553191489,6.807719799857041,1.6076339978898566,1.6076339978898566
ultra_high_signal_claim_conversation,max_heading_per_1k,376,1399,36.29949302644194,9.88359452283357,1.6028389800474054,1.6028389800474054
ultra_high_signal_claim_conversation,n_assistant,376,1399,69.75797872340425,7.259471050750536,1.6017536408380488,1.6017536408380488
ultra_high_signal_claim_conversation,n_messages,376,1399,140.11170212765958,14.26518942101501,1.5967374361849773,1.5967374361849773
ultra_high_signal_claim_conversation,n_user,376,1399,70.35372340425532,7.005718370264475,1.5882753844001436,1.5882753844001436
ultra_high_signal_claim_conversation,max_conditional_per_1k,376,1399,104.73133628543175,26.006855271851034,1.572618122925017,1.572618122925017
ultra_high_signal_claim_conversation,max_fam_hierarchy,376,1399,72.90402697608485,5.454462909275526,1.5525828917293671,1.5525828917293671
